,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
1906,264,213,115.9372335600907,117.28399092970521,28,37,77,1,51
1907,264,255,115.9372335600907,117.8877097505669,28,29,84,2,9
1908,264,428,115.9372335600907,117.28399092970521,28,21,174,1,164
1909,264,486,115.9372335600907,117.60907029478459,28,23,233,2,222
1910,264,445,115.9372335600907,118.63074829931973,28,20,215,3,181
1911,264,617,115.9372335600907,117.37687074829932,28,17,358,1,353
1912,264,684,115.9372335600907,117.58585034013606,28,19,426,2,420
1913,213,42,117.28399092970521,118.44498866213152,37,46,178,1,171
1914,213,23,117.28399092970521,118.81650793650793,37,47,201,2,190
1915,213,41,117.28399092970521,119.58276643990929,37,44,198,2,172
1916,213,230,117.28399092970521,118.97904761904762,37,34,75,2,17
1917,213,205,117.28399092970521,119.58276643990929,37,24,99,2,8
1918,213,445,117.28399092970521,118.63074829931973,37,20,239,1,232
1919,213,445,117.28399092970521,119.97750566893424,37,21,259,3,232
1920,255,41,117.8877097505669,119.58276643990929,29,44,226,2,214
1921,255,230,117.8877097505669,118.97904761904762,29,34,53,1,25
1922,255,205,117.8877097505669,119.58276643990929,29,24,88,2,50
1923,255,445,117.8877097505669,119.97750566893424,29,21,210,2,190
1924,255,724,117.8877097505669,120.00072562358277,29,10,478,2,469
1925,230,18,118.97904761904762,121.39392290249434,34,46,236,2,212
1926,230,224,118.97904761904762,121.20816326530613,34,23,96,2,6
1927,230,258,118.97904761904762,121.64934240362813,34,27,118,3,28
1928,230,428,118.97904761904762,121.32426303854875,34,20,222,2,198
1929,230,419,118.97904761904762,121.64934240362813,34,26,221,3,189
1930,230,724,118.97904761904762,120.00072562358277,34,10,496,1,494
1931,230,703,118.97904761904762,121.39392290249434,34,19,484,2,473
1932,230,651,118.97904761904762,121.76544217687075,34,15,438,3,421
1933,205,18,119.58276643990929,121.39392290249434,24,46,203,2,187
1934,205,54,119.58276643990929,122.2530612244898,24,46,190,3,151
1935,205,224,119.58276643990929,121.20816326530613,24,23,73,2,19
1936,205,258,119.58276643990929,121.64934240362813,24,27,104,2,53
1937,205,428,119.58276643990929,121.32426303854875,24,20,235,2,223
1938,205,419,119.58276643990929,121.64934240362813,24,26,232,2,214
1939,205,703,119.58276643990929,121.39392290249434,24,19,504,2,498
1940,205,651,119.58276643990929,121.76544217687075,24,15,456,2,446
1941,224,54,121.20816326530613,122.2530612244898,23,46,176,1,170
1942,224,65,121.20816326530613,122.97287981859411,23,47,176,2,159
1943,224,275,121.20816326530613,123.34439909297052,23,26,105,2,51
1944,224,271,121.20816326530613,123.62303854875283,23,28,114,2,47
